,Close,High,Low,Open,Volume,date,totalVolume_less_than_0_01,addressesCount_less_than_0_01,totalVolume_f_0_01_to_0_1,addressesCount_f_0_01_to_0_1,totalVolume_f_0_1_to_1_x,addressesCount_f_0_1_to_1_x,totalVolume_f_0_1_to_1_y,addressesCount_f_0_1_to_1_y,totalVolume_f_0_1_to_1,addressesCount_f_0_1_to_1,totalVolume_f_1_to_10,addressesCount_f_1_to_10,totalVolume_f_10_to_100,addressesCount_f_10_to_100,totalVolume_f_100_to_1000,addressesCount_f_100_to_1000,totalVolume_f_1000_to_10000,addressesCount_f_1000_to_10000,totalVolume_f_10000_to_100000,addressesCount_f_10000_to_100000
764,9426.94,9573.35,9051.48,9216.39,9059.61157854,2019-10-29,29496.9881142,20208001.0,156771.97417486,4857139.0,640470.91892345,2032927.0,640470.91892345,2032927.0,640470.91892345,2032927.0,1673570.54419009,628396.0,3048177.99247642,109423.0,3552015.1145948,14088.0,4824938.659088,2028.0,2263599.88481924,106.0
765,9159.94,9437.06,8985.25,9426.94,8814.43804818,2019-10-30,29554.22933091,20237690.0,156708.08329256,4855360.0,639909.16197897,2029851.0,639909.16197897,2029851.0,639909.16197897,2029851.0,1674046.50520531,628711.0,3053563.04851784,109574.0,3548194.14505811,14038.0,4825042.01649212,2029.0,2263699.88650524,106.0
766,9150.07,9438.61,8961.53,9169.55,10113.15940929,2019-10-31,29509.18242252,20240343.0,156775.89235311,4859571.0,639822.59231096,2029403.0,639822.59231096,2029403.0,639822.59231096,2029403.0,1671136.81979432,628670.0,3055852.24660349,109646.0,3552671.24108018,14042.0,4821584.74095339,2027.0,2263689.89250524,106.0
767,9250.45,9303.53,9054.6,9158.08,6640.55238456,2019-11-01,29437.6300194,20244363.0,156636.25014439,4857526.0,638322.64011439,2023677.0,638322.64011439,2023677.0,638322.64011439,2023677.0,1668613.62725902,627860.0,3058052.79322442,109737.0,3548006.95320407,14025.0,4870331.51207625,2041.0,2223266.20175072,103.0
768,9304.75,9396.91,9201.19,9250.7,2701.13696278,2019-11-02,29497.85985285,20269775.0,156800.52491696,4866370.0,637903.01175153,2021529.0,637903.01175153,2021529.0,637903.01175153,2021529.0,1666583.28519577,627784.0,3059043.89914982,109756.0,3548615.45061385,14041.0,4862552.80393797,2041.0,2233345.77236429,104.0
769,9207.0,9384.32,9067.0,9304.75,2539.21833111,2019-11-03,29556.06654688,20294926.0,156658.4499042,4868765.0,637368.58124265,2019217.0,637368.58124265,2019217.0,637368.58124265,2019217.0,1665578.43707546,628116.0,3062067.86524612,109791.0,3550161.71708759,14029.0,4861213.69205217,2041.0,2233462.79862797,104.0
770,9410.76,9586.5,9122.33,9207.0,4962.44231548,2019-11-04,29613.098449179997,20327659.0,156538.40441251,4865929.0,636982.65429614,2017410.0,636982.65429614,2017410.0,636982.65429614,2017410.0,1666113.57124231,628899.0,3063786.71016211,109845.0,3547384.00819887,14015.0,4863722.92134515,2040.0,2233576.23967677,104.0
771,9320.14,9485.0,9165.2,9410.76,4979.57899177,2019-11-05,29589.43879702,20333664.0,156528.90236992,4868165.0,636949.07032221,2016507.0,636949.07032221,2016507.0,636949.07032221,2016507.0,1665048.17683931,629243.0,3063734.9218248,109808.0,3549948.52407329,14022.0,4852573.47144452,2037.0,2424987.55278607,108.0
772,9344.78,9448.19,9254.68,9319.1,4670.23465673,2019-11-06,29483.997032490002,20299511.0,156229.22872449,4851419.0,636886.12734019,2015749.0,636886.12734019,2015749.0,636886.12734019,2015749.0,1666137.87331694,629914.0,3057926.47034457,109516.0,3555807.67166813,14047.0,4850425.53066639,2038.0,2428113.15936394,108.0
773,9199.36,9373.48,9080.0,9346.02,3975.97661681,2019-11-07,29435.6261639,20284704.0,156236.2698292,4850383.0,637197.37303336,2016165.0,637197.37303336,2016165.0,637197.37303336,2016165.0,1665532.57509111,629917.0,3059219.0793367,109524.0,3549871.05865994,14004.0,4854300.61444697,2042.0,2430904.96189596,108.0
